,General,Sector,Index,,,,,,,,,,,,,,,,
,Short drawdowns,Healthcare focused. ,A50 focused,,,,,,,,,,,,,,,,
,Low drawdown amount,Finance focused. ,Shenzhen100 focused,,,,,,,,,,,,,,,,
,High Sharpe ratio,Pharmaceutical focused. ,Chuangye focused,,,,,,,,,,,,,,,,
,High fixed return,F&B focused. ,Hushen300 focused,,,,,,,,,,,,,,,,
,High upside capture,Energy focused. ,Zhongzheng 500 focused,,,,,,,,,,,,,,,,
,Low downside capture,Semiconductor focused,Zhongzheng 1000 focused,,,,,,,,,,,,,,,,
,High alphas,Software focused. ,Kechuang focused,,,,,,,,,,,,,,,,
,High betas,Military focused. ,Hang Seng focused. ,,,,,,,,,,,,,,,,
,Low betas,Chemicals focused. ,,,,,,,,,,,,,,,,,
,Low volatility,Manufacturing focused. ,,,,,,,,,,,,,,,,,
,,Metal focused. ,,,,,,,,,,,,,,,,,
,,Agriculture focused. ,,,,,,,,,,,,,,,,,
,,Infrastructure focused,,,,,,,,,,,,,,,,,
,,Environmental focused. ,,,,,,,,,,,,,,,,,
